Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
corporate video production,CAD,2900.0,-19%,238%,Low,5.0,6.51,32.18,,,,,,1900.0,1600.0,1600.0,1600.0,1600.0,1600.0,2400.0,2400.0,3600.0,5400.0,5400.0,4400.0
video agency,CAD,1600.0,0%,46%,Low,10.0,4.54,21.37,,,,,,1600.0,1000.0,1300.0,1000.0,1000.0,1300.0,1300.0,1300.0,1600.0,1900.0,2400.0,1900.0
video production companies near me,CAD,1900.0,0%,0%,Low,20.0,4.86,21.62,,,,,,1900.0,1600.0,1900.0,1600.0,1600.0,1900.0,1900.0,1300.0,2400.0,1900.0,2400.0,1900.0
animated explainer videos,CAD,720.0,-38%,108%,Low,17.0,10.47,45.39,,,,,,590.0,590.0,480.0,480.0,480.0,480.0,720.0,590.0,720.0,1600.0,1300.0,1000.0
video editing company,CAD,1000.0,0%,48%,Low,27.0,4.13,20.59,,,,,,1000.0,1000.0,1600.0,1300.0,880.0,720.0,720.0,720.0,1300.0,1300.0,1300.0,1300.0
product demo video,CAD,390.0,23%,51%,Low,20.0,8.27,31.12,,,,,,390.0,260.0,260.0,260.0,320.0,320.0,480.0,480.0,480.0,480.0,720.0,590.0
corporate video,CAD,2900.0,0%,83%,Low,10.0,4.35,20.17,,,,,,2400.0,2400.0,1900.0,1900.0,1900.0,1900.0,1900.0,2400.0,2900.0,4400.0,5400.0,4400.0
video editing agency,CAD,1000.0,260%,510%,Low,8.0,3.29,13.59,,,,,,720.0,720.0,590.0,720.0,720.0,1000.0,720.0,590.0,1300.0,1000.0,1300.0,3600.0
animated video production services,CAD,260.0,0%,333%,Low,3.0,26.32,51.95,,,,,,90.0,110.0,110.0,260.0,320.0,260.0,210.0,210.0,260.0,390.0,590.0,390.0
product videography,CAD,1900.0,26%,26%,Low,24.0,4.81,20.92,,,,,,1900.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1300.0,1900.0,1900.0,2400.0,2400.0
product video,CAD,1900.0,26%,26%,Low,24.0,4.81,20.92,,,,,,1900.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1300.0,1900.0,1900.0,2400.0,2400.0
medical animation,CAD,880.0,14%,14%,Low,21.0,4.28,20.96,,,,,,880.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,880.0,880.0,1000.0,1000.0
3d product animation,CAD,480.0,-18%,84%,Low,22.0,5.28,26.71,,,,,,480.0,390.0,320.0,320.0,390.0,390.0,590.0,480.0,720.0,720.0,720.0,590.0
production companies near me,CAD,3600.0,-19%,-19%,Low,29.0,2.47,10.58,,,,,,3600.0,3600.0,4400.0,3600.0,2900.0,3600.0,4400.0,3600.0,4400.0,3600.0,4400.0,2900.0
video production services,CAD,8100.0,-18%,83%,Low,3.0,5.36,20.96,,,,,,12100.0,5400.0,5400.0,6600.0,6600.0,6600.0,8100.0,8100.0,9900.0,12100.0,9900.0,9900.0
product video maker,CAD,320.0,-56%,0%,Low,32.0,4.09,18.22,,,,,,260.0,260.0,260.0,210.0,260.0,260.0,390.0,320.0,390.0,590.0,320.0,260.0
video animation services,CAD,880.0,19%,222%,Low,5.0,11.38,48.31,,,,,,720.0,590.0,590.0,590.0,480.0,590.0,720.0,720.0,1000.0,1600.0,1900.0,1900.0
video marketing agency,CAD,1300.0,0%,116%,Low,8.0,6.65,24.23,,,,,,720.0,1000.0,880.0,880.0,1300.0,1900.0,1600.0,720.0,1300.0,1900.0,2400.0,1900.0
explainer video agency,CAD,260.0,22%,179%,Low,7.0,11.82,42.37,,,,,,210.0,260.0,170.0,110.0,140.0,210.0,260.0,210.0,260.0,320.0,480.0,390.0
demo video,CAD,720.0,0%,0%,Low,23.0,7.34,27.57,,,,,,720.0,590.0,590.0,720.0,720.0,720.0,720.0,590.0,720.0,880.0,880.0,880.0
explainer video services,CAD,590.0,14%,156%,Low,6.0,10.77,41.18,,,,,,590.0,480.0,390.0,390.0,390.0,480.0,720.0,590.0,720.0,880.0,1000.0,1000.0
music video production,CAD,1300.0,0%,-19%,Low,12.0,2.23,7.09,,,,,,1300.0,1300.0,1000.0,1000.0,1000.0,1000.0,1300.0,1300.0,1300.0,1300.0,1600.0,1300.0
product explainer video,CAD,170.0,-33%,136%,Low,19.0,11.89,39.97,,,,,,140.0,110.0,110.0,110.0,110.0,110.0,140.0,170.0,210.0,390.0,320.0,260.0
3d animation studios,CAD,1600.0,0%,90%,Low,12.0,3.38,25.46,,,,,,1300.0,1000.0,1000.0,1000.0,1300.0,1300.0,1600.0,1600.0,2400.0,1900.0,2400.0,1900.0
animated video agency,CAD,320.0,22%,243%,Low,6.0,12.45,46.69,,,,,,210.0,170.0,140.0,260.0,260.0,260.0,260.0,210.0,320.0,590.0,720.0,720.0
music video production near me,CAD,880.0,0%,-28%,Medium,38.0,2.46,7.43,,,,,,1000.0,880.0,880.0,880.0,880.0,880.0,880.0,720.0,1000.0,720.0,880.0,720.0
commercial production companies,CAD,720.0,-28%,0%,Low,23.0,5.4,24.26,,,,,,720.0,720.0,590.0,590.0,590.0,880.0,880.0,590.0,1000.0,1000.0,880.0,720.0
video company,CAD,2900.0,21%,81%,Low,10.0,4.99,25.88,,,,,,1300.0,1600.0,1300.0,1300.0,1600.0,5400.0,9900.0,4400.0,2900.0,2400.0,2900.0,2900.0
explainer video production,CAD,720.0,60%,400%,Low,6.0,6.92,34.99,,,,,,590.0,390.0,320.0,480.0,390.0,590.0,720.0,720.0,1000.0,1000.0,1300.0,1600.0
music videographer near me,CAD,480.0,23%,-33%,Medium,43.0,2.03,6.6,,,,,,590.0,480.0,480.0,480.0,480.0,390.0,390.0,390.0,390.0,390.0,480.0,480.0
media production company,CAD,880.0,85%,307%,Low,7.0,3.07,12.07,,,,,,720.0,720.0,590.0,590.0,590.0,590.0,590.0,590.0,880.0,1300.0,1900.0,2400.0
corporate videographer,CAD,2900.0,0%,83%,Low,10.0,4.35,20.17,,,,,,2400.0,2400.0,1900.0,1900.0,1900.0,1900.0,1900.0,2400.0,2900.0,4400.0,5400.0,4400.0
personalized videos,CAD,590.0,0%,50%,Low,11.0,1.96,48.3,,,,,,480.0,480.0,390.0,390.0,480.0,480.0,480.0,590.0,590.0,720.0,880.0,720.0
commercial videographer,CAD,1300.0,19%,90%,Low,13.0,4.39,22.14,,,,,,880.0,1000.0,1000.0,880.0,1000.0,1300.0,1900.0,1000.0,1300.0,1600.0,2400.0,1900.0
video production agency,CAD,1300.0,0%,173%,Low,6.0,4.67,20.96,,,,,,880.0,880.0,590.0,720.0,880.0,1000.0,880.0,1300.0,1600.0,2400.0,2900.0,2400.0
video production house,CAD,260.0,50%,129%,Low,6.0,6.51,31.78,,,,,,210.0,170.0,260.0,210.0,480.0,210.0,320.0,260.0,210.0,260.0,320.0,390.0
video animation company,CAD,320.0,0%,247%,Low,10.0,12.45,47.46,,,,,,140.0,140.0,170.0,170.0,170.0,210.0,320.0,170.0,260.0,590.0,720.0,590.0
product animation,CAD,480.0,0%,85%,Low,17.0,4.89,15.47,,,,,,320.0,390.0,390.0,320.0,320.0,390.0,320.0,390.0,480.0,720.0,880.0,720.0
video production studio,CAD,1300.0,19%,46%,Low,7.0,4.36,17.75,,,,,,1000.0,1000.0,1300.0,1000.0,1300.0,880.0,1300.0,1000.0,1300.0,1600.0,1900.0,1900.0
animated video production,CAD,1000.0,0%,222%,Low,4.0,14.7,51.78,,,,,,590.0,590.0,590.0,590.0,590.0,720.0,1000.0,1000.0,1300.0,1900.0,2900.0,1900.0
creative video agency,CAD,590.0,0%,213%,Low,5.0,3.76,23.76,,,,,,320.0,320.0,260.0,320.0,390.0,390.0,390.0,320.0,590.0,1000.0,1300.0,1000.0
videography company,CAD,2900.0,21%,81%,Low,10.0,4.99,25.88,,,,,,1300.0,1600.0,1300.0,1300.0,1600.0,5400.0,9900.0,4400.0,2900.0,2400.0,2900.0,2900.0
lemonlight media,CAD,140.0,56%,-18%,Low,11.0,13.98,13.98,,,,,,210.0,170.0,170.0,140.0,140.0,140.0,140.0,90.0,110.0,90.0,110.0,140.0
animated explainer video company,CAD,720.0,30%,233%,Low,5.0,16.28,53.38,,,,,,480.0,390.0,320.0,480.0,480.0,480.0,590.0,590.0,880.0,1000.0,1300.0,1300.0
video production pricing sheet,CAD,170.0,0%,-58%,Low,14.0,2.66,8.3,,,,,,170.0,110.0,110.0,140.0,170.0,210.0,390.0,110.0,260.0,110.0,140.0,110.0
commercial video,CAD,1300.0,19%,90%,Low,13.0,4.39,22.14,,,,,,880.0,1000.0,1000.0,880.0,1000.0,1300.0,1900.0,1000.0,1300.0,1600.0,2400.0,1900.0
video animation services usa,CAD,50.0,-50%,100%,Low,17.0,11.74,31.14,,,,,,70.0,50.0,40.0,30.0,30.0,30.0,50.0,50.0,50.0,40.0,40.0,20.0
3d animation agency,CAD,170.0,0%,256%,Low,4.0,4.89,40.11,,,,,,70.0,90.0,90.0,70.0,90.0,110.0,110.0,140.0,210.0,320.0,390.0,320.0
video content agency,CAD,320.0,0%,247%,Low,7.0,6.75,21.13,,,,,,210.0,140.0,170.0,170.0,210.0,210.0,210.0,210.0,260.0,590.0,720.0,590.0
video ad agency,CAD,880.0,23%,233%,Low,4.0,7.78,35.31,,,,,,480.0,390.0,390.0,390.0,720.0,480.0,480.0,590.0,880.0,1300.0,1900.0,1600.0
explainer video production companies,CAD,140.0,24%,420%,Low,3.0,16.99,41.93,,,,,,70.0,50.0,50.0,70.0,70.0,110.0,210.0,110.0,210.0,210.0,260.0,260.0
video marketing companies,CAD,1300.0,19%,116%,Low,3.0,8.92,45.31,,,,,,1000.0,720.0,590.0,1000.0,880.0,720.0,1900.0,1300.0,1300.0,1600.0,1900.0,1900.0
video production services near me,CAD,6600.0,-55%,23%,Low,4.0,4.14,20.21,,,,,,4400.0,5400.0,5400.0,5400.0,5400.0,6600.0,6600.0,6600.0,8100.0,12100.0,9900.0,5400.0
music video production companies,CAD,390.0,0%,-19%,Low,21.0,2.07,5.17,,,,,,480.0,320.0,320.0,320.0,320.0,320.0,320.0,390.0,480.0,480.0,480.0,480.0
production agency,CAD,590.0,49%,83%,Low,10.0,2.25,8.33,,,,,,480.0,390.0,480.0,390.0,390.0,480.0,590.0,390.0,480.0,590.0,720.0,880.0
2d animation studios,CAD,1000.0,0%,81%,Low,10.0,2.94,15.39,,,,,,720.0,720.0,590.0,720.0,1000.0,1600.0,1000.0,1000.0,1300.0,1300.0,1300.0,1300.0
best company to transfer 8mm film to digital,CAD,90.0,29%,0%,High,99.0,2.46,9.14,,,,,,90.0,90.0,110.0,110.0,110.0,90.0,110.0,70.0,90.0,70.0,70.0,90.0
3d animation video maker,CAD,140.0,0%,27%,Medium,51.0,1.61,4.79,,,,,,110.0,90.0,110.0,140.0,110.0,90.0,140.0,210.0,260.0,140.0,140.0,140.0
video companies near me,CAD,720.0,39%,0%,Low,13.0,5.65,28.7,,,,,,880.0,720.0,880.0,480.0,720.0,590.0,880.0,480.0,720.0,720.0,1000.0,1000.0
product videos for marketing,CAD,320.0,23%,84%,Low,10.0,5.72,25.16,,,,,,260.0,260.0,260.0,260.0,260.0,320.0,320.0,320.0,390.0,480.0,480.0,590.0
brand video,CAD,1600.0,26%,50%,Low,12.0,3.94,20.07,,,,,,1300.0,1300.0,1300.0,1000.0,1300.0,1300.0,1300.0,1300.0,1600.0,1900.0,2900.0,2400.0
medical animation companies,CAD,260.0,0%,200%,Low,16.0,7.77,23.62,,,,,,140.0,70.0,70.0,90.0,110.0,140.0,140.0,110.0,170.0,210.0,1600.0,210.0
video production website,CAD,590.0,14%,213%,Low,7.0,2.73,11.59,,,,,,390.0,260.0,320.0,320.0,390.0,590.0,390.0,390.0,880.0,880.0,880.0,1000.0
2d animation companies,CAD,1000.0,0%,81%,Low,10.0,2.94,15.39,,,,,,720.0,720.0,590.0,720.0,1000.0,1600.0,1000.0,1000.0,1300.0,1300.0,1300.0,1300.0
videography agency,CAD,390.0,-19%,129%,Low,15.0,4.78,27.95,,,,,,210.0,260.0,260.0,210.0,210.0,260.0,390.0,480.0,590.0,590.0,480.0,480.0
video advertising agency,CAD,880.0,23%,233%,Low,4.0,7.78,35.31,,,,,,480.0,390.0,390.0,390.0,720.0,480.0,480.0,590.0,880.0,1300.0,1900.0,1600.0
video makers near me,CAD,140.0,56%,-56%,Medium,43.0,3.72,13.01,,,,,,170.0,140.0,90.0,90.0,140.0,110.0,170.0,70.0,110.0,90.0,140.0,140.0
video creation agency,CAD,110.0,0%,271%,Low,3.0,18.88,72.92,,,,,,50.0,50.0,70.0,50.0,50.0,70.0,50.0,70.0,70.0,260.0,320.0,260.0
tv commercial production companies,CAD,1000.0,50%,233%,Low,6.0,8.81,46.9,,,,,,720.0,590.0,590.0,880.0,590.0,720.0,590.0,590.0,1000.0,1600.0,1600.0,2400.0
promotional videos for business,CAD,390.0,22%,238%,Low,6.0,5.78,25.36,,,,,,260.0,260.0,260.0,210.0,260.0,260.0,260.0,260.0,390.0,720.0,880.0,880.0
explainer video cost,CAD,480.0,0%,182%,Low,5.0,6.93,28.96,,,,,,210.0,210.0,210.0,320.0,480.0,390.0,720.0,720.0,720.0,480.0,720.0,480.0
media production companies near me,CAD,390.0,-64%,-19%,Low,26.0,3.68,15.08,,,,,,320.0,260.0,210.0,260.0,480.0,260.0,210.0,260.0,390.0,720.0,720.0,260.0
video editing companies near me,CAD,260.0,-64%,-56%,Low,25.0,2.95,24.43,,,,,,260.0,210.0,170.0,140.0,260.0,210.0,140.0,170.0,210.0,590.0,720.0,210.0
3d product animation video,CAD,90.0,0%,22%,Low,10.0,3.45,7.97,,,,,,90.0,50.0,70.0,40.0,50.0,50.0,70.0,90.0,170.0,110.0,110.0,110.0
motion graphics animation,CAD,1000.0,0%,60%,Low,13.0,3.11,12.95,,,,,,880.0,720.0,880.0,880.0,880.0,1000.0,1000.0,1300.0,1600.0,1600.0,1600.0,1600.0
video production studios near me,CAD,590.0,23%,-56%,Low,22.0,2.5,14.29,,,,,,590.0,590.0,880.0,590.0,590.0,590.0,720.0,320.0,590.0,260.0,720.0,320.0
medical animation videos,CAD,210.0,23%,129%,Low,12.0,4.19,18.17,,,,,,110.0,110.0,90.0,110.0,110.0,140.0,260.0,170.0,210.0,260.0,390.0,320.0
event videography pricing,CAD,260.0,-19%,24%,Low,18.0,1.75,6.32,,,,,,210.0,140.0,140.0,140.0,260.0,590.0,320.0,110.0,390.0,320.0,260.0,260.0
video making company,CAD,170.0,23%,129%,Low,5.0,6.35,25.16,,,,,,170.0,90.0,110.0,70.0,90.0,110.0,210.0,170.0,170.0,260.0,390.0,320.0
local video production companies,CAD,590.0,0%,182%,Low,10.0,4.53,17.33,,,,,,210.0,210.0,210.0,260.0,720.0,1300.0,1300.0,320.0,880.0,480.0,590.0,480.0
commercial video advertising,CAD,50.0,-44%,25%,Low,27.0,11.79,67.08,,,,,,30.0,30.0,50.0,40.0,70.0,50.0,70.0,70.0,50.0,90.0,90.0,50.0
best video production companies,CAD,260.0,22%,179%,Low,7.0,6.59,18.82,,,,,,260.0,210.0,210.0,110.0,140.0,170.0,210.0,210.0,320.0,320.0,320.0,390.0
videography services near me,CAD,1300.0,-70%,-18%,Low,27.0,4.54,18.08,,,,,,880.0,880.0,880.0,720.0,1000.0,1000.0,1300.0,1600.0,1600.0,2400.0,1000.0,720.0
youtube production agencies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0
3d motion graphics,CAD,390.0,0%,23%,Low,16.0,2.78,10.47,,,,,,390.0,260.0,260.0,320.0,320.0,390.0,320.0,320.0,480.0,480.0,480.0,480.0
animated explainer video agency,CAD,90.0,89%,240%,Low,11.0,11.51,41.93,,,,,,70.0,90.0,40.0,70.0,50.0,90.0,90.0,90.0,110.0,90.0,210.0,170.0
animated corporate videos,CAD,480.0,0%,238%,Low,6.0,10.17,36.0,,,,,,390.0,210.0,170.0,210.0,260.0,210.0,390.0,260.0,390.0,880.0,1000.0,880.0
social media production company,CAD,390.0,50%,243%,Low,7.0,5.41,19.19,,,,,,260.0,260.0,320.0,260.0,320.0,390.0,320.0,320.0,480.0,480.0,720.0,720.0
3d medical animation,CAD,260.0,50%,50%,Low,16.0,4.16,20.96,,,,,,210.0,210.0,170.0,210.0,260.0,260.0,320.0,320.0,320.0,260.0,480.0,390.0
video ad production,CAD,320.0,0%,182%,Low,3.0,5.44,41.24,,,,,,170.0,210.0,170.0,170.0,210.0,210.0,210.0,210.0,320.0,480.0,590.0,480.0
video production for small businesses,CAD,260.0,84%,321%,Low,4.0,8.32,37.62,,,,,,170.0,170.0,170.0,210.0,210.0,210.0,260.0,170.0,260.0,320.0,390.0,590.0
brand video production,CAD,720.0,0%,233%,Low,2.0,7.01,36.07,,,,,,390.0,480.0,320.0,390.0,320.0,320.0,390.0,480.0,720.0,1300.0,1600.0,1300.0
video marketing company near me,CAD,140.0,0%,24%,Low,7.0,9.88,44.04,,,,,,70.0,70.0,50.0,70.0,90.0,90.0,110.0,170.0,170.0,260.0,320.0,260.0
animation agencies,CAD,590.0,0%,125%,Low,12.0,5.73,40.94,,,,,,260.0,260.0,210.0,210.0,210.0,390.0,1000.0,720.0,590.0,720.0,880.0,720.0
animated logo design,CAD,170.0,0%,0%,Low,29.0,1.77,6.93,,,,,,170.0,170.0,140.0,140.0,170.0,140.0,210.0,170.0,170.0,170.0,210.0,170.0
b2b video production,CAD,170.0,86%,53%,Low,8.0,13.33,53.57,,,,,,140.0,140.0,110.0,110.0,140.0,140.0,170.0,140.0,320.0,140.0,260.0,260.0
2d animation services,CAD,390.0,0%,127%,Low,6.0,6.66,36.5,,,,,,260.0,260.0,390.0,320.0,210.0,260.0,320.0,390.0,590.0,590.0,590.0,590.0
top video production companies,CAD,260.0,24%,0%,Low,9.0,4.25,23.72,,,,,,390.0,210.0,320.0,260.0,170.0,140.0,260.0,320.0,260.0,170.0,320.0,210.0
photography and videography services,CAD,480.0,23%,51%,Low,12.0,2.83,10.9,,,,,,390.0,390.0,390.0,390.0,590.0,1000.0,260.0,210.0,590.0,480.0,590.0,590.0
music video producers near me,CAD,880.0,0%,-28%,Medium,38.0,2.46,7.43,,,,,,1000.0,880.0,880.0,880.0,880.0,880.0,880.0,720.0,1000.0,720.0,880.0,720.0
video creation companies,CAD,8100.0,22%,174%,Low,7.0,5.34,21.51,,,,,,6600.0,5400.0,5400.0,5400.0,4400.0,5400.0,6600.0,5400.0,9900.0,12100.0,14800.0,14800.0
3d character design,CAD,480.0,0%,23%,Low,13.0,1.62,4.89,,,,,,480.0,480.0,390.0,390.0,480.0,590.0,390.0,390.0,590.0,590.0,720.0,590.0
corporate video maker,CAD,140.0,-47%,89%,Low,5.0,10.3,41.93,,,,,,70.0,70.0,70.0,90.0,70.0,90.0,90.0,70.0,170.0,320.0,210.0,170.0
video production agency near me,CAD,480.0,-64%,-18%,Low,5.0,4.2,25.71,,,,,,140.0,390.0,880.0,320.0,140.0,480.0,260.0,170.0,480.0,880.0,880.0,320.0
av production companies near me,CAD,170.0,21%,89%,Medium,36.0,5.77,18.39,,,,,,140.0,140.0,260.0,210.0,170.0,110.0,110.0,140.0,140.0,140.0,140.0,170.0
mega fan crunchyroll,CAD,1000.0,0%,-12%,Low,18.0,1.17,5.06,,,,,,1000.0,1300.0,1300.0,1000.0,1000.0,1000.0,720.0,1000.0,1000.0,880.0,1000.0,880.0
short film production companies,CAD,210.0,-33%,86%,Low,16.0,2.05,6.2,,,,,,170.0,110.0,170.0,110.0,140.0,110.0,260.0,170.0,320.0,390.0,320.0,260.0
event video production,CAD,720.0,0%,171%,Low,4.0,4.24,15.26,,,,,,390.0,390.0,390.0,390.0,390.0,480.0,720.0,880.0,1300.0,1300.0,1300.0,1300.0
business videographer near me,CAD,110.0,-21%,22%,Medium,36.0,5.74,25.99,,,,,,70.0,90.0,70.0,50.0,140.0,210.0,140.0,210.0,170.0,140.0,90.0,110.0
2d animation explainer video,CAD,90.0,57%,120%,Low,28.0,11.18,46.44,,,,,,90.0,70.0,90.0,70.0,70.0,70.0,140.0,140.0,140.0,70.0,170.0,110.0
fiverr logo animation,CAD,90.0,-18%,29%,Low,28.0,1.8,6.46,,,,,,90.0,90.0,70.0,70.0,110.0,170.0,90.0,70.0,90.0,110.0,110.0,90.0
2d animation video,CAD,170.0,0%,86%,Low,21.0,3.0,25.87,,,,,,140.0,140.0,140.0,170.0,140.0,170.0,170.0,170.0,170.0,260.0,260.0,260.0
youtube production company,CAD,140.0,0%,271%,Low,20.0,3.52,14.41,,,,,,110.0,90.0,110.0,90.0,90.0,110.0,90.0,70.0,110.0,260.0,260.0,260.0
product launch video,CAD,210.0,24%,24%,Low,24.0,5.87,22.95,,,,,,170.0,170.0,140.0,170.0,170.0,210.0,210.0,210.0,260.0,210.0,320.0,260.0
video agency near me,CAD,260.0,-35%,-56%,Low,28.0,4.43,21.16,,,,,,260.0,320.0,320.0,320.0,210.0,210.0,210.0,210.0,390.0,260.0,210.0,170.0
corporate video services,CAD,720.0,0%,233%,Low,1.0,8.48,33.08,,,,,,390.0,390.0,260.0,260.0,390.0,390.0,480.0,590.0,880.0,1300.0,1600.0,1300.0
digital video production,CAD,390.0,0%,50%,Low,6.0,3.41,14.27,,,,,,260.0,210.0,320.0,320.0,320.0,320.0,390.0,390.0,590.0,480.0,480.0,480.0
commercial videographer near me,CAD,260.0,-65%,-47%,Low,22.0,4.19,27.54,,,,,,140.0,260.0,320.0,210.0,260.0,260.0,210.0,210.0,210.0,480.0,480.0,170.0
tv commercial production,CAD,880.0,26%,515%,Low,1.0,6.63,36.04,,,,,,480.0,320.0,390.0,390.0,480.0,590.0,480.0,590.0,1000.0,1900.0,1900.0,2400.0
video advertising companies,CAD,480.0,0%,175%,Low,4.0,11.7,63.43,,,,,,320.0,210.0,170.0,880.0,320.0,260.0,320.0,320.0,390.0,880.0,1300.0,880.0
video production proposal,CAD,110.0,0%,91%,Low,4.0,2.12,9.35,,,,,,90.0,90.0,70.0,90.0,90.0,90.0,70.0,70.0,140.0,210.0,260.0,210.0
ross carbonite,CAD,720.0,0%,0%,High,91.0,0.99,2.33,,,,,,720.0,590.0,590.0,720.0,720.0,720.0,720.0,590.0,720.0,720.0,720.0,720.0
video content creation agency,CAD,70.0,56%,600%,Low,11.0,6.19,29.69,,,,,,30.0,20.0,30.0,20.0,30.0,50.0,140.0,70.0,90.0,90.0,70.0,140.0
videography business,CAD,260.0,23%,52%,Low,15.0,3.54,13.29,,,,,,260.0,210.0,210.0,210.0,210.0,210.0,210.0,170.0,260.0,260.0,390.0,320.0
amazon video production,CAD,140.0,0%,-25%,Low,4.0,,,,,,,,30.0,70.0,880.0,590.0,10.0,20.0,40.0,40.0,30.0,30.0,30.0,30.0
audio visual production companies,CAD,720.0,30%,233%,Low,12.0,3.24,13.79,,,,,,480.0,480.0,590.0,390.0,480.0,480.0,590.0,480.0,880.0,1000.0,1300.0,1300.0
youtube video production company,CAD,70.0,22%,57%,Low,17.0,3.19,15.36,,,,,,70.0,40.0,50.0,40.0,50.0,70.0,90.0,90.0,110.0,90.0,110.0,110.0
custom logo animation,CAD,90.0,-22%,0%,Medium,58.0,1.7,9.45,,,,,,90.0,90.0,70.0,110.0,90.0,50.0,70.0,70.0,90.0,90.0,90.0,70.0
best explainer video companies,CAD,140.0,21%,143%,Low,8.0,6.34,41.03,,,,,,90.0,140.0,110.0,110.0,90.0,70.0,170.0,140.0,140.0,140.0,210.0,170.0
best corporate videos,CAD,140.0,0%,-18%,Low,22.0,2.33,15.08,,,,,,140.0,140.0,110.0,110.0,140.0,140.0,140.0,110.0,140.0,140.0,140.0,140.0
saas video production,CAD,140.0,-33%,56%,Low,14.0,9.78,38.81,,,,,,110.0,170.0,110.0,90.0,90.0,90.0,140.0,140.0,210.0,210.0,320.0,140.0
music video companies,CAD,260.0,0%,86%,Low,16.0,2.21,6.29,,,,,,210.0,210.0,210.0,210.0,260.0,170.0,210.0,170.0,390.0,390.0,390.0,390.0
video industry,CAD,140.0,24%,133%,Low,0.0,,,,,,,,90.0,90.0,90.0,110.0,90.0,90.0,110.0,90.0,90.0,170.0,320.0,210.0
