keyword,avg_monthly_searches,cpc_low,cpc_high,competition_score,competition_text,currency,cpc,search_intent
animated logo design,170.0,1.77,6.93,29.0,Low,CAD,4.35,informational
b2b video production,170.0,13.33,53.57,8.0,Low,CAD,33.45,commercial
2d animation services,390.0,6.66,36.5,6.0,Low,CAD,21.58,transactional
top video production companies,260.0,4.25,23.72,9.0,Low,CAD,13.985,commercial
photography and videography services,480.0,2.83,10.9,12.0,Low,CAD,6.865,transactional
music video producers near me,880.0,2.46,7.43,38.0,Medium,CAD,4.945,transactional
video creation companies,8100.0,5.34,21.51,7.0,Low,CAD,13.425,informational
3d character design,480.0,1.62,4.89,13.0,Low,CAD,3.255,informational
corporate video maker,140.0,10.3,41.93,5.0,Low,CAD,26.115,informational
video production agency near me,480.0,4.2,25.71,5.0,Low,CAD,14.955,transactional
av production companies near me,170.0,5.77,18.39,36.0,Medium,CAD,12.08,transactional
mega fan crunchyroll,1000.0,1.17,5.06,18.0,Low,CAD,3.115,informational
short film production companies,210.0,2.05,6.2,16.0,Low,CAD,4.125,informational
event video production,720.0,4.24,15.26,4.0,Low,CAD,9.75,commercial
business videographer near me,110.0,5.74,25.99,36.0,Medium,CAD,15.864999999999998,transactional
2d animation explainer video,90.0,11.18,46.44,28.0,Low,CAD,28.81,informational
fiverr logo animation,90.0,1.8,6.46,28.0,Low,CAD,4.13,commercial
2d animation video,170.0,3.0,25.87,21.0,Low,CAD,14.435,commercial
youtube production company,140.0,3.52,14.41,20.0,Low,CAD,8.965,transactional
product launch video,210.0,5.87,22.95,24.0,Low,CAD,14.41,informational
video agency near me,260.0,4.43,21.16,28.0,Low,CAD,12.795,transactional
corporate video services,720.0,8.48,33.08,1.0,Low,CAD,20.78,transactional
digital video production,390.0,3.41,14.27,6.0,Low,CAD,8.84,commercial
commercial videographer near me,260.0,4.19,27.54,22.0,Low,CAD,15.865,transactional
tv commercial production,880.0,6.63,36.04,1.0,Low,CAD,21.335,informational
video advertising companies,480.0,11.7,63.43,4.0,Low,CAD,37.565,informational
video production proposal,110.0,2.12,9.35,4.0,Low,CAD,5.734999999999999,commercial
ross carbonite,720.0,0.99,2.33,91.0,High,CAD,1.66,informational
video content creation agency,70.0,6.19,29.69,11.0,Low,CAD,17.94,transactional
videography business,260.0,3.54,13.29,15.0,Low,CAD,8.415,informational
amazon video production,140.0,,,4.0,Low,CAD,,commercial
audio visual production companies,720.0,3.24,13.79,12.0,Low,CAD,8.515,informational
youtube video production company,70.0,3.19,15.36,17.0,Low,CAD,9.275,transactional
custom logo animation,90.0,1.7,9.45,58.0,Medium,CAD,5.574999999999999,commercial
best explainer video companies,140.0,6.34,41.03,8.0,Low,CAD,23.685,commercial
best corporate videos,140.0,2.33,15.08,22.0,Low,CAD,8.705,commercial
saas video production,140.0,9.78,38.81,14.0,Low,CAD,24.295,commercial
music video companies,260.0,2.21,6.29,16.0,Low,CAD,4.25,informational
video industry,140.0,,,0.0,Low,CAD,,informational
social media video production company,390.0,5.41,19.19,7.0,Low,CAD,12.3,transactional
video marketing agency near me,320.0,6.93,22.33,6.0,Low,CAD,14.63,transactional
lemonlight video,70.0,7.69,22.51,33.0,Low,CAD,15.1,informational
corporate video production companies,480.0,12.02,41.93,6.0,Low,CAD,26.975,commercial
company promotional video,480.0,5.9,26.18,4.0,Low,CAD,16.04,transactional
fiverr 3d animation,70.0,1.44,9.32,39.0,Medium,CAD,5.38,commercial
real estate video editing services,110.0,2.9,15.46,39.0,Medium,CAD,9.18,transactional
social media video agency,140.0,3.83,19.1,9.0,Low,CAD,11.465,transactional
fiverr explainer video,70.0,2.66,11.85,68.0,High,CAD,7.255,informational
videography companies near me,720.0,5.65,28.7,13.0,Low,CAD,17.175,transactional
marketing video production company,320.0,7.94,37.48,4.0,Low,CAD,22.71,transactional
vfx companies,590.0,2.27,6.45,8.0,Low,CAD,4.36,commercial
video production cost,170.0,2.66,8.18,5.0,Low,CAD,5.42,commercial
tiktok video production company,20.0,,,0.0,Low,CAD,,transactional
corporate event videography,260.0,5.34,21.13,7.0,Low,CAD,13.235,informational
corporate explainer videos,170.0,4.86,26.71,6.0,Low,CAD,15.785,informational
training video production companies,390.0,6.91,49.29,4.0,Low,CAD,28.1,commercial
explainer animation studio,20.0,6.92,16.49,13.0,Low,CAD,11.704999999999998,transactional
best product videos,140.0,4.12,17.76,23.0,Low,CAD,10.94,commercial
best marketing video maker,20.0,10.89,31.11,32.0,Low,CAD,21.0,commercial
event video production companies,70.0,,,0.0,Low,CAD,,commercial
creative video,480.0,2.12,14.12,12.0,Low,CAD,8.12,informational
filming companies near me,880.0,2.35,9.42,29.0,Low,CAD,5.885,transactional
3d product animation video company,70.0,15.82,41.55,11.0,Low,CAD,28.685,transactional
professional video production,480.0,6.62,55.9,2.0,Low,CAD,31.26,commercial
panasonic kairos,260.0,1.84,5.09,11.0,Low,CAD,3.465,informational
best promo video maker,70.0,6.89,23.52,9.0,Low,CAD,15.205,commercial
social explainer video,20.0,6.46,26.43,20.0,Low,CAD,16.445,informational
corporate video companies,480.0,6.68,34.52,2.0,Low,CAD,20.6,informational
b2b video agency,40.0,6.01,25.34,16.0,Low,CAD,15.675,transactional
video creator company,10.0,,,17.0,Low,CAD,,transactional
corporate video agency,260.0,12.53,41.93,2.0,Low,CAD,27.23,transactional
tv production,1600.0,1.93,10.43,3.0,Low,CAD,6.18,informational
commercial video services,170.0,5.67,25.16,1.0,Low,CAD,15.415,transactional
film and video production,260.0,4.15,19.16,13.0,Low,CAD,11.655,commercial
youtube video editing company,30.0,3.74,10.8,25.0,Low,CAD,7.27,transactional
promotional video production,590.0,4.37,35.75,2.0,Low,CAD,20.06,commercial
motion graphics services,390.0,6.89,32.41,3.0,Low,CAD,19.65,transactional
motion graphics company,880.0,3.34,14.48,3.0,Low,CAD,8.91,transactional
3d product animation services,210.0,12.56,50.31,6.0,Low,CAD,31.435,transactional
commercial video production near me,210.0,9.71,29.81,2.0,Low,CAD,19.76,transactional
video production business,880.0,4.17,37.59,3.0,Low,CAD,20.880000000000003,commercial
amazon sponsored brand video,50.0,6.99,18.17,21.0,Low,CAD,12.580000000000002,informational
lemonlight video production,90.0,8.09,23.37,40.0,Medium,CAD,15.73,commercial
video production company website,590.0,2.73,11.59,7.0,Low,CAD,7.16,transactional
marketing video production,1000.0,7.17,38.4,3.0,Low,CAD,22.785,commercial
ecommerce video,480.0,4.52,14.09,6.0,Low,CAD,9.305,informational
commercial production companies near me,170.0,5.39,26.92,19.0,Low,CAD,16.155,transactional
ross video switcher,210.0,1.59,3.52,92.0,High,CAD,2.555,informational
animation 3d maker,1900.0,1.52,5.09,29.0,Low,CAD,3.305,commercial
logo animation services,260.0,4.06,15.54,9.0,Low,CAD,9.8,transactional
whiteboard animation service,210.0,9.87,66.53,3.0,Low,CAD,38.2,transactional
digital filmmaking,260.0,6.89,22.95,13.0,Low,CAD,14.92,informational
youtube video production services,50.0,1.66,34.43,4.0,Low,CAD,18.045,transactional
video production for businesses,880.0,4.17,37.59,3.0,Low,CAD,20.880000000000003,commercial
video recording company,20.0,3.82,27.49,17.0,Low,CAD,15.655,transactional
corporate video production near me,2400.0,5.31,41.93,1.0,Low,CAD,23.62,transactional
brand video maker,30.0,3.03,12.52,30.0,Low,CAD,7.774999999999999,informational
audio and video companies near me,40.0,3.35,22.92,58.0,Medium,CAD,13.135000000000002,transactional
video maker company,10.0,,,9.0,Low,CAD,,transactional
corporate video makers,140.0,10.3,41.93,5.0,Low,CAD,26.115,informational
best video production websites,90.0,2.27,11.49,21.0,Low,CAD,6.88,commercial
film production agency,170.0,2.33,5.69,6.0,Low,CAD,4.01,transactional
video ad making company,10.0,,,,Unknown,CAD,,transactional
educational video production companies,170.0,2.08,18.87,2.0,Low,CAD,10.475,commercial
digital video agency,90.0,5.29,22.74,3.0,Low,CAD,14.015,transactional
media production agency,880.0,3.07,12.07,7.0,Low,CAD,7.57,transactional
lemonlight pricing,30.0,6.99,42.32,46.0,Medium,CAD,24.655,transactional
video post production,480.0,3.65,23.42,4.0,Low,CAD,13.535,informational
audio video production,260.0,3.84,18.16,5.0,Low,CAD,11.0,commercial
video making agency,30.0,,,4.0,Low,CAD,,transactional
corporate production companies,170.0,12.82,35.61,9.0,Low,CAD,24.215,informational
full service production company,320.0,4.19,14.8,5.0,Low,CAD,9.495,transactional
whiteboard animation companies,140.0,8.54,49.09,6.0,Low,CAD,28.815,commercial
architectural animation,480.0,3.49,10.48,10.0,Low,CAD,6.985,commercial
cgi video production,90.0,,,2.0,Low,CAD,,commercial
sydney video producer,10.0,4.76,23.28,40.0,Medium,CAD,14.02,informational
healthcare video production companies,30.0,,,4.0,Low,CAD,,commercial
interactive video production,50.0,,,2.0,Low,CAD,,commercial
commercial video production company,480.0,11.67,41.93,3.0,Low,CAD,26.8,transactional
digital film production,140.0,3.22,21.31,9.0,Low,CAD,12.265,informational
average cost of tv commercial production,30.0,,,3.0,Low,CAD,,transactional
video to promote your business,10.0,3.4,18.66,77.0,High,CAD,11.03,informational
home video studio,480.0,,,3.0,Low,CAD,,transactional
wedding video editing company,30.0,3.0,7.66,15.0,Low,CAD,5.33,transactional
medical animation studio,90.0,4.6,20.96,19.0,Low,CAD,12.78,transactional
cinematography and film video production,140.0,5.3,29.7,18.0,Low,CAD,17.5,commercial
motion graphics design,6600.0,3.28,12.84,13.0,Low,CAD,8.06,commercial
3d animation companies near me,40.0,,,8.0,Low,CAD,,transactional
animated video production company,320.0,13.98,45.74,4.0,Low,CAD,29.86,transactional
marketing video agency,1300.0,6.65,24.23,8.0,Low,CAD,15.44,transactional
3d explainer video maker,10.0,,,9.0,Low,CAD,,informational
animated explainer video production,720.0,16.28,53.38,5.0,Low,CAD,34.83,informational
miami production company,110.0,4.09,12.17,26.0,Low,CAD,8.129999999999999,transactional
brand video agency,90.0,10.16,37.65,2.0,Low,CAD,23.905,transactional
corporate film production,210.0,7.45,17.81,1.0,Low,CAD,12.63,informational
small video production company,30.0,5.86,19.31,54.0,Medium,CAD,12.585,transactional
corporate films,260.0,4.82,16.03,5.0,Low,CAD,10.425,informational
best saas explainer videos,50.0,7.37,24.51,13.0,Low,CAD,15.94,commercial
3d animation services company,70.0,,,1.0,Low,CAD,,transactional
video explainer company,40.0,,,1.0,Low,CAD,,transactional
cgi animation companies,90.0,3.78,18.57,18.0,Low,CAD,11.175,commercial
music video makers near me,50.0,2.75,7.28,61.0,Medium,CAD,5.015000000000001,transactional
animated explainer video services,210.0,12.84,45.92,4.0,Low,CAD,29.380000000000003,transactional
video ad making agency,10.0,11.32,34.57,96.0,High,CAD,22.945,transactional
top commercial production companies,140.0,3.93,18.45,11.0,Low,CAD,11.19,commercial
video production house near me,50.0,3.37,27.95,43.0,Medium,CAD,15.66,transactional
film editing companies,110.0,3.3,12.7,21.0,Low,CAD,8.0,informational
sponsored brand video,70.0,6.65,36.34,11.0,Low,CAD,21.495,informational
whiteboard explainer video company,20.0,,,15.0,Low,CAD,,transactional
promotional video maker near me,40.0,6.72,12.29,23.0,Low,CAD,9.505,transactional
fiverr 2d animation,40.0,1.44,5.95,23.0,Low,CAD,3.695,commercial
promo video production company,40.0,,,2.0,Low,CAD,,transactional
full service video production,260.0,3.76,21.38,2.0,Low,CAD,12.57,transactional
media production services,210.0,3.47,12.55,5.0,Low,CAD,8.01,transactional
branded content production companies,70.0,4.76,17.3,25.0,Low,CAD,11.03,informational
3d animation design,110.0,2.17,8.23,11.0,Low,CAD,5.2,commercial
advertising agency video,880.0,7.78,35.31,4.0,Low,CAD,21.545,transactional
corporate videographer near me,390.0,4.5,35.76,11.0,Low,CAD,20.13,transactional
vyond price,1300.0,1.2,6.95,27.0,Low,CAD,4.075,transactional
3d product animation company,140.0,,,1.0,Low,CAD,,transactional
starting a video production company,50.0,1.3,12.05,16.0,Low,CAD,6.675000000000001,transactional
top explainer video companies,70.0,21.26,74.04,5.0,Low,CAD,47.650000000000006,commercial
2d motion graphics,140.0,2.28,9.78,11.0,Low,CAD,6.029999999999999,commercial
corporate promotional video,480.0,5.9,26.18,4.0,Low,CAD,16.04,informational
video production company services,70.0,4.04,17.75,3.0,Low,CAD,10.895,transactional
tv commercial production companies near me,260.0,,,6.0,Low,CAD,,transactional
dc production companies,480.0,2.95,12.32,7.0,Low,CAD,7.635,informational
commercial film production companies,50.0,6.76,17.25,4.0,Low,CAD,12.005,informational
3d rendering animation,210.0,3.29,14.8,8.0,Low,CAD,9.045,commercial
video media company,50.0,5.24,39.53,12.0,Low,CAD,22.385,transactional
best video marketing agencies,70.0,,,3.0,Low,CAD,,commercial
top video marketing agencies,10.0,9.2,56.39,18.0,Low,CAD,32.795,commercial
3d animation rendering services,70.0,17.85,38.2,4.0,Low,CAD,28.025,transactional
video content marketing agency,170.0,11.57,26.78,3.0,Low,CAD,19.175,transactional
computer animation companies,70.0,2.54,15.83,8.0,Low,CAD,9.185,commercial
multimedia production company,90.0,3.58,27.95,6.0,Low,CAD,15.765,transactional
rent video studio,480.0,1.09,5.01,17.0,Low,CAD,3.05,transactional
cgi animation studios,90.0,3.78,18.57,18.0,Low,CAD,11.175,transactional
logo motion design,40.0,1.8,4.91,33.0,Low,CAD,3.355,informational
biggest video production companies,20.0,,,9.0,Low,CAD,,commercial
mpc vfx,880.0,2.17,7.75,1.0,Low,CAD,4.96,commercial
outsource video production,50.0,3.33,28.16,4.0,Low,CAD,15.745,commercial
best marketing videos,140.0,6.09,19.19,12.0,Low,CAD,12.64,commercial
dneg animation,1600.0,,,0.0,Low,CAD,,commercial
corporate training video production,170.0,8.08,37.19,4.0,Low,CAD,22.635,commercial
video content creation company,70.0,8.87,81.71,15.0,Low,CAD,45.29,transactional
music video company near me,40.0,2.46,6.36,25.0,Low,CAD,4.41,transactional
animation outsourcing,140.0,5.69,24.88,8.0,Low,CAD,15.285,commercial
training video companies,140.0,9.7,71.16,14.0,Low,CAD,40.43,informational
social media production agency,10.0,,,4.0,Low,CAD,,transactional
corporate video shoot,40.0,,,4.0,Low,CAD,,informational
on demand video production,10.0,,,14.0,Low,CAD,,commercial
promotional video services,390.0,5.4,27.75,2.0,Low,CAD,16.575,transactional
video production services list,50.0,,,2.0,Low,CAD,,transactional
explainer video creation company,390.0,12.78,47.5,3.0,Low,CAD,30.14,transactional
video editing studio near me,40.0,1.86,9.45,45.0,Medium,CAD,5.654999999999999,transactional
arri hmi,110.0,,,89.0,High,CAD,,informational
production agency near me,50.0,2.35,10.36,43.0,Medium,CAD,6.355,transactional
3d walkthrough animation,140.0,2.07,6.58,1.0,Low,CAD,4.325,commercial
motion graphics logo,210.0,1.73,5.31,26.0,Low,CAD,3.52,commercial
2d 3d animation,260.0,1.93,10.29,5.0,Low,CAD,6.109999999999999,commercial
video commercial production,1300.0,5.47,28.7,3.0,Low,CAD,17.085,informational
promo video company,30.0,4.55,27.84,12.0,Low,CAD,16.195,transactional
commercial making,260.0,6.25,53.87,26.0,Low,CAD,30.06,informational
lemonlight productions,110.0,5.97,13.98,12.0,Low,CAD,9.975,informational
corporate video producer,140.0,6.89,49.17,4.0,Low,CAD,28.03,informational
3d product animation studio,70.0,6.83,19.09,3.0,Low,CAD,12.96,transactional
product animation services,70.0,5.9,44.22,2.0,Low,CAD,25.06,transactional
av production companies,720.0,3.24,13.79,12.0,Low,CAD,8.515,informational
commercial videography pricing,40.0,2.68,5.93,31.0,Low,CAD,4.305,transactional
social media video company,50.0,7.96,24.65,8.0,Low,CAD,16.305,transactional
social video agency,70.0,7.52,12.48,3.0,Low,CAD,10.0,transactional
advertising video making companies,40.0,,,0.0,Low,CAD,,informational
3d animation production company,90.0,15.31,35.59,5.0,Low,CAD,25.450000000000003,transactional
video maker agency,10.0,,,5.0,Low,CAD,,transactional
corporate video content,20.0,,,2.0,Low,CAD,,informational
digital video,880.0,2.54,12.28,3.0,Low,CAD,7.41,informational
professional music video production company,30.0,2.0,6.01,26.0,Low,CAD,4.005,transactional
music video services near me,30.0,2.84,7.09,46.0,Medium,CAD,4.965,transactional
ecommerce video agency,10.0,,,20.0,Low,CAD,,transactional
music video production companies near me,40.0,2.93,5.53,19.0,Low,CAD,4.23,transactional
crunchyroll funimation merger,170.0,,,0.0,Low,CAD,,informational
lemonlight agency,10.0,,,21.0,Low,CAD,,transactional
chicago production company,880.0,4.07,29.53,32.0,Low,CAD,16.8,local_transactional
b2b video production agency,30.0,5.58,55.98,32.0,Low,CAD,30.78,transactional
3d industrial animation,70.0,6.5,29.65,9.0,Low,CAD,18.075,commercial
3d motion design studio,20.0,4.77,15.14,24.0,Low,CAD,9.955,transactional
3d animation studios near me,110.0,2.47,14.76,26.0,Low,CAD,8.615,transactional
commercial video company,90.0,12.74,39.1,11.0,Low,CAD,25.92,transactional
3d animation fiverr,30.0,1.66,7.48,33.0,Low,CAD,4.57,commercial
animation outsourcing companies,70.0,,,2.0,Low,CAD,,commercial
audio video production company,40.0,3.0,6.85,25.0,Low,CAD,4.925,transactional
corporate video cost,260.0,2.8,13.86,9.0,Low,CAD,8.33,informational
video production firm,8100.0,5.34,21.51,7.0,Low,CAD,13.425,commercial
media production house,40.0,3.68,14.88,14.0,Low,CAD,9.28,informational
3d medical animation website,10.0,,,14.0,Low,CAD,,commercial
3d video company,40.0,,,3.0,Low,CAD,,transactional
best videography websites,390.0,1.94,15.93,15.0,Low,CAD,8.935,commercial
short video production company,20.0,2.95,10.87,8.0,Low,CAD,6.91,transactional
social media video producer,30.0,4.4,13.43,15.0,Low,CAD,8.915,informational
2d explainer video company,50.0,14.15,42.34,10.0,Low,CAD,28.245,transactional
nashville film production companies,90.0,3.55,23.27,24.0,Low,CAD,13.41,informational
motion graphics and animation,1000.0,3.11,12.95,13.0,Low,CAD,8.03,commercial
explainer company,40.0,,,0.0,Low,CAD,,transactional
creative agency video production,140.0,3.65,35.84,3.0,Low,CAD,19.745,transactional
video production sites,590.0,2.73,11.59,7.0,Low,CAD,7.16,commercial
motion logo design,70.0,2.29,5.87,14.0,Low,CAD,4.08,informational
top tv commercial production companies,10.0,3.22,28.09,12.0,Low,CAD,15.655,commercial
sports video production companies,30.0,2.4,7.62,15.0,Low,CAD,5.01,commercial
photography production company,70.0,2.1,4.43,19.0,Low,CAD,3.265,transactional
music video agency,70.0,1.62,3.9,14.0,Low,CAD,2.76,transactional
brand videographer,1600.0,3.94,20.07,12.0,Low,CAD,12.005,informational
animation production studios,390.0,2.91,26.05,4.0,Low,CAD,14.48,transactional
best video editing companies,50.0,4.63,17.72,11.0,Low,CAD,11.175,commercial
whiteboard animation production company,70.0,16.78,26.31,2.0,Low,CAD,21.545,transactional
2d and 3d animation,590.0,2.66,12.91,4.0,Low,CAD,7.785,commercial
video animation studio,110.0,9.82,32.16,7.0,Low,CAD,20.99,transactional
prime video advertising,8100.0,5.94,39.83,4.0,Low,CAD,22.885,informational
vfx studios near me,210.0,2.47,10.33,21.0,Low,CAD,6.4,transactional
adobe creative cloud animation,70.0,3.62,7.63,16.0,Low,CAD,5.625,commercial
video production company la,1900.0,5.42,20.61,10.0,Low,CAD,13.015,transactional
best explainer video,30.0,9.24,25.87,25.0,Low,CAD,17.555,commercial
whiteboard video production,110.0,13.61,53.38,2.0,Low,CAD,33.495000000000005,commercial
real estate video company,40.0,2.89,7.66,10.0,Low,CAD,5.275,transactional
production company services,110.0,3.84,11.84,9.0,Low,CAD,7.84,transactional
3d design studios,140.0,2.29,7.92,16.0,Low,CAD,5.105,transactional
whiteboard video company,50.0,9.98,23.93,7.0,Low,CAD,16.955,transactional
local video production,590.0,4.53,17.33,10.0,Low,CAD,10.93,commercial
